,views,likes,comments,date,channel_id,title,description,thumbnail,channel_title,tags,genre,language,video_id,Total_Views,Sub_Count,Video_Count
0,82133,12859,342,2023-06-15T00:00:19Z,UCnQC_G5Xsjhp9fEJKuIcrSw,This Is Good 😂,"1️⃣ Click here to join the member exclusive portion of my show: https://get.dailywireplus.com/member-block/ben-shapiro

2️⃣ Become a DailyWire+ member to gain access to movies, shows, documentaries, and more: https://bit.ly/3lfVtwK 

👕 Get your Ben Shapiro merch here: https://bit.ly/3TAu2cw

#BenShapiro #TheBenShapiroShow #News #Politics #DailyWire 
#shorts #shortsfeed #reaction #comedy #comedian",https://i.ytimg.com/vi/t5lQG77XJQo/maxresdefault.jpg,Ben Shapiro,"['comedian', 'coemdian ali', 'stand up comedian', 'mike paramore coemdian', 'coemdian bhairab aryal', 'zimidaar 420 comedian', 'ay comedian', 'coemdian indraja marriage video', 'comedian kid', 'ajay comedian', 'jassu comedian', 'comedian eshetu', 'comedian schweiz', 'jassu comedian 08', 'comedian nk shorts', 'comedian nk gaming', 'comedian king james', 'comedian harmonists', 'bharti singh comedian', 'comedian (profession)', 'comedian brahmanandam', 'comedian vivek last film', 'ajay comedian comedy video']",Entertainment,en,t5lQG77XJQo,1957862099,5890000,4320
0,104537,14224,315,2023-06-14T23:00:23Z,UCnQC_G5Xsjhp9fEJKuIcrSw,Trump Has Jokes 👏,"1️⃣ Click here to join the member exclusive portion of my show: https://get.dailywireplus.com/member-block/ben-shapiro

2️⃣ Become a DailyWire+ member to gain access to movies, shows, documentaries, and more: https://bit.ly/3lfVtwK 

👕 Get your Ben Shapiro merch here: https://bit.ly/3TAu2cw

#BenShapiro #TheBenShapiroShow #News #Politics #DailyWire 
#shorts #reaction #shortsfeed #trump #donaldtrump",https://i.ytimg.com/vi/ucYdt48k82A/maxresdefault.jpg,Ben Shapiro,"['donald trump', 'trump', 'trump indictment', 'trump charges', 'trump campaign', 'donald trump indictment', 'trump espionage', 'trump classified documents', 'trump arraignment', 'trump rally', 'trump miami', 'trump investigation', 'president donald trump', 'trump lawyers', 'trump indicted', 'trump grand jury', 'president trump', 'espionage trump', 'trump special counsel', 'donald trump epionage', 'trump news', 'trump 2024', 'trump live', 'trump doral', 'donald trump arraignment', 'trump federal indictment']",Entertainment,en,ucYdt48k82A,1957862099,5890000,4320
0,54286,3285,522,2023-06-14T23:00:19Z,UCnQC_G5Xsjhp9fEJKuIcrSw,Liberal Media LOSES IT Over Trump...Again,"One of the reasons Donald Trump is so popular with people on the right is because they actually hear what he is saying. Rachel Maddow over at MSNBC refused to cover the Trump rally last night, a perfect example of the left-wing media silencing Trump.
 
1️⃣ Click here to join the member exclusive portion of my show: https://get.dailywireplus.com/member-block/ben-shapiro

2️⃣ Become a DailyWire+ member to gain access to movies, shows, documentaries, and more: https://bit.ly/3lfVtwK 

3️⃣  Watch the full episode here: Ep.1746 - https://youtu.be/ffA-0Yc9qMs

👕 Get your Ben Shapiro merch here: https://bit.ly/3TAu2cw

🔴Today's Sponsors🔴

Get your free life insurance quote & see how much you could save: http://policygenius.com/SHAPIRO

Get a free Jumpstart Trial Bag at http://www.FreeRuffGreens.com/Ben, or call 833-MY DOG 33

#BenShapiro #TheBenShapiroShow #News #Politics #DailyWire #trump #trumpnews #indicted #biden",https://i.ytimg.com/vi/vipbA08hp2E/maxresdefault.jpg,Ben Shapiro,"['trump indictment', 'donald trump', 'trump', 'donald trump indictment', 'trump indictment news', 'indictment', 'trump federal indictment', 'trump indicted', 'trump indictment today', 'trump indictment counts', 'trump indictment documents', 'trump arraignment', 'indictment of donald j trump', 'president trump', 'donald trump indictment document', 'donald trump news', 'donald trump federal indictment', 'president trump espionage', 'federal indictment of donald trump', 'trump grand jury', 'trump espionage']",Entertainment,en,vipbA08hp2E,1957862099,5890000,4320
0,40555,2080,957,2023-06-14T21:20:54Z,UCnQC_G5Xsjhp9fEJKuIcrSw,Mike Pence REACTS to Trump's Indictment,"Joining us on the show today is former Vice President Mike Pence. Pence shares his thoughts on Trump's latest indictment.

1️⃣ Click here to join the member exclusive portion of my show: https://get.dailywireplus.com/member-block/ben-shapiro

2️⃣ Become a DailyWire+ member to gain access to movies, shows, documentaries, and more: https://bit.ly/3lfVtwK 

3️⃣ Watch the full episode here: Ep.1746 - https://youtu.be/ffA-0Yc9qMs

👕 Get your Ben Shapiro merch here: https://bit.ly/3TAu2cw

🔴Today's Sponsors🔴

Text ""BEN"" to 989898, or go to https://birchgold.com/ben, to claim your free infokit today!

Shop Legacybox with my exclusive discount: https://www.legacybox.com/shapiro

#BenShapiro #TheBenShapiroShow #News #Politics #DailyWire #mikepence #trump #2024elections #biden",https://i.ytimg.com/vi/PdztsR8wFSg/maxresdefault.jpg,Ben Shapiro,"['mike pence', 'pence', 'mike pence president', 'mike pence running for president', 'mike pence news', 'mike pence 2024', 'mike pence trump', 'pence 2024', 'mike pence cnn town hall', 'vp mike pence', 'mike pence jan 6', 'mike pence today', 'mike pence speech', 'mike pence running', 'mike pence vs trump', 'mike pence campaign', 'how old is mike pence', 'mike pence david muir', 'mike pence documents', 'is mike pence running', 'mike pence presidente', 'mike pence presidencia', 'mike pence attacks trump']",Entertainment,en,PdztsR8wFSg,1957862099,5890000,4320
0,98020,12990,661,2023-06-14T21:15:00Z,UCnQC_G5Xsjhp9fEJKuIcrSw,Update On Trump's Indictment,"1️⃣ Click here to join the member exclusive portion of my show: https://get.dailywireplus.com/member-block/ben-shapiro

2️⃣ Become a DailyWire+ member to gain access to movies, shows, documentaries, and more: https://bit.ly/3lfVtwK 

👕 Get your Ben Shapiro merch here: https://bit.ly/3TAu2cw

#BenShapiro #TheBenShapiroShow #News #Politics #DailyWire 
#shorts #trump #2024 #election #biden",https://i.ytimg.com/vi/1qIYSUNvBvA/maxresdefault.jpg,Ben Shapiro,"['donald trump', 'trump news', 'news', 'trump', 'trump indictment', 'breaking news', 'donald trump news', 'us news', 'world news', 'fox news', 'trump news today', 'trump indicted', 'donald trump indictment', 'fox news channel', 'president trump', 'latest news', 'trump arraignment', 'cbs news', 'trump in court', 'trump indictment news', 'fox news media', 'trump miami', 'trump speech', 'bbc news', 'trump in miami', 'trump classified documents', 'trump campaign', 'live news', 'trump arrested', 'trump documents', 'cable news']",Entertainment,en,1qIYSUNvBvA,1957862099,5890000,4320
0,166031,7133,1875,2023-06-14T17:00:09Z,UCnQC_G5Xsjhp9fEJKuIcrSw,Will Trump Get His Revenge?,"President Trump goes to Miami court for arraignment, then vows revenge against the Biden clan; the Biden administration tut-tuts a transgender influencer who flashed his fake breasts on the White House lawn; and Bud Light loses its #1 market status.

Ep.1746

1️⃣ Click here to join the member exclusive portion of my show:  https://bit.ly/41LQK62

2️⃣  Watch the first episode of What We Saw: Cold War for FREE:  https://bit.ly/3GvLqvh

👕 Get your Ben Shapiro merch here: https://bit.ly/3TAu2cw

🔴Today's Sponsors🔴

ExpressVPN - Get 3 Months FREE of ExpressVPN: https://expressvpn.com/ben

Birch Gold - Text ""BEN"" to 989898, or go to https://birchgold.com/ben, to claim your free infokit today!

Policygenius - Get your free life insurance quote & see how much you could save: http://policygenius.com/SHAPIRO

Ruff Greens - Get a free Jumpstart Trial Bag at http://www.FreeRuffGreens.com/Ben, or call 833-MY DOG 33

Legacybox - Shop Legacybox with my exclusive discount: https://www.legacybox.com/shapiro

- - -

#BenShapiro #TheBenShapiroShow #News #Politics #DailyWire",https://i.ytimg.com/vi/ffA-0Yc9qMs/maxresdefault.jpg,Ben Shapiro,"['Podcast', 'Conservative', 'The Ben Shapiro Show', 'Ben Shapiro', 'Daily Wire', 'Liberal', 'Democrats', 'Republicans', 'Conservatives', 'Politics', 'News', 'Journalism', 'Media', 'Debate']",Entertainment,en,ffA-0Yc9qMs,1957862099,5890000,4320
0,117647,8787,630,2023-06-14T00:15:02Z,UCnQC_G5Xsjhp9fEJKuIcrSw,Karen's Diner 👀,"1️⃣ Click here to join the member exclusive portion of my show: https://get.dailywireplus.com/member-block/ben-shapiro

2️⃣ Become a DailyWire+ member to gain access to movies, shows, documentaries, and more: https://bit.ly/3lfVtwK 

👕 Get your Ben Shapiro merch here: https://bit.ly/3TAu2cw

#BenShapiro #TheBenShapiroShow #News #Politics #DailyWire 
#shorts #shortsfeed #karen #funnyreaction #reaction",https://i.ytimg.com/vi/Rmk2azCLf1c/maxresdefault.jpg,Ben Shapiro,"['karen', 'karens', 'angry karen', 'insane karen', 'karen tiktok', 'karen tiktoks', 'karen gets owned', 'karen freakouts', 'karen complications', 'karen public freakout', 'public karen freakout', 'karen public freakouts', 'the karens of tiktok', 'karen public complications', 'karen karma', 'karen bachini', 'top 5 most entitled karens of all time', 'karen pov', 'kid vs karen', 'karla', 'karen go brrr', 'male karens', 'karen lorenza', 'kid owns karen', 'worst karens', 'karens karma', 'karens caught', 'karens vs kids']",Entertainment,en,Rmk2azCLf1c,1957862099,5890000,4320
0,460132,54687,1044,2023-06-13T23:00:13Z,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Reacts to Russell Brand,"1️⃣ Click here to join the member exclusive portion of my show: https://get.dailywireplus.com/member-block/ben-shapiro

2️⃣ Become a DailyWire+ member to gain access to movies, shows, documentaries, and more: https://bit.ly/3lfVtwK 

👕 Get your Ben Shapiro merch here: https://bit.ly/3TAu2cw

#BenShapiro #TheBenShapiroShow #News #Politics #DailyWire 
#shorts #shortsfeed #russellbrand #joerogan #joeroganexperience #reaction",https://i.ytimg.com/vi/LrUv17ON_Do/maxresdefault.jpg,Ben Shapiro,"['russell brand', 'brand russell', 'russell brand news', 'russell brand video', 'russell brand politics', 'russel brand', 'russell brand interview', 'brand', 'russell brand podcast', 'russell brand bill maher', 'russell', 'russell brand msnbc', 'russell brand joe rogan', 'russell brand bill maher full', 'russell brand bill maher full episode', 'russel', 'russell brand youtube', 'russell brand meditation', 'russell brand bill maher 2023', 'russell brand stand up', 'russell brand on god', 'funny russell brand']",Entertainment,en,LrUv17ON_Do,1957862099,5890000,4320
0,182544,6458,1001,2023-06-13T23:00:04Z,UCnQC_G5Xsjhp9fEJKuIcrSw,Is Megan Fox FORCING Her Son to Wear Dresses?,"Megan Fox is a legit crazy person. Robby Starbuck, who used to live in the same community as Fox,  accused Fox of forcing her sons to wear girls' dresses.

1️⃣ Click here to join the member exclusive portion of my show: https://get.dailywireplus.com/member-block/ben-shapiro

2️⃣ Become a DailyWire+ member to gain access to movies, shows, documentaries, and more: https://bit.ly/3lfVtwK 

3️⃣ Watch the full episode here: Ep.1745 -https://youtu.be/FqgThB4M-t0

👕 Get your Ben Shapiro merch here: https://bit.ly/3TAu2cw

🔴Today's Sponsors🔴

Text ""BEN"" to 989898, or go to https://birchgold.com/ben, to claim your free infokit today!

Get up to 20% OFF + 2 FREE pillows with all mattress orders: https://helixsleep.com/BEN

#BenShapiro #TheBenShapiroShow #News #Politics #DailyWire #markcuban #target #budlight #lgbtq #pridemonth #meganfox",https://i.ytimg.com/vi/9VCLm3DiGZI/maxresdefault.jpg,Ben Shapiro,"['mark cuban', 'mark cuban interview', 'mark cuban shark tank', 'mark cuban mavericks', 'mark cuban advice', 'shark tank', 'mark cuban motivation', 'how to invest with mark cuban', 'mark cuban speech', 'shark tank mark cuban', 'mark cuban business advice', 'mark cuban dallas mavericks', 'mark cuban gq', 'mark cuban 2018', 'mark cuban funny', 'mark cuban gq sports', 'mark cuban business', 'mark cuban kevin hart', 'shark tank us', 'mark cuban private jet', 'mark cuban vanity fair', 'mark cuban billionaire']",Entertainment,en,9VCLm3DiGZI,1957862099,5890000,4320
0,36058,1648,297,2023-06-13T21:35:03Z,UCnQC_G5Xsjhp9fEJKuIcrSw,Is China Spying On Us? AGAIN?,"Last week it was reported that the Chinese were going to open a spy base in Cuba. The Biden Administration denied that report. Sounds very similar to the Chinese spy balloon incident. 

1️⃣ Click here to join the member exclusive portion of my show: https://get.dailywireplus.com/member-block/ben-shapiro

2️⃣ Become a DailyWire+ member to gain access to movies, shows, documentaries, and more: https://bit.ly/3lfVtwK 

3️⃣ Watch the full episode here: Ep.1745 -https://youtu.be/FqgThB4M-t0

👕 Get your Ben Shapiro merch here: https://bit.ly/3TAu2cw

🔴Today's Sponsors🔴

Switch to PureTalk and get 50% off your first month! https://www.puretalkusa.com/landing/shapiro 

Download the Cynch app and get your first tank exchange for just $10 with promo code SHAPIRO. Visit http://cynch.com/offer for details.

#BenShapiro #TheBenShapiroShow #News #Politics #DailyWire #china #cuba #biden",https://i.ytimg.com/vi/L65YD1QNc80/maxresdefault.jpg,Ben Shapiro,"['china', 'cuba', 'china cuba', 'cuba china', 'china spy base in cuba', 'china y cuba', 'china sobre cuba', 'china sanciones a cuba', 'relacion china y cuba', 'china cuba crisis', 'china pledges $100 million to cuba', 'china donated $100 million to cuba', 'china donates $100 million to cuba', 'espionaje cuba china', 'china donated $100 million to help cuba', 'china donates $100 million to help cuba', 'china cuba spy', 'china cuba base', 'china cuba ties', 'china news', 'china: cuban president fidel castro visit']",Entertainment,en,L65YD1QNc80,1957862099,5890000,4320
