,Comment,Sentiment,Negative (%),Neutral (%),Positive (%),Scaler_value,weighted_SV,weight,video_id
0,This man was literally born to make history and be a good person,Positive,0.92,8.45,90.63,0.9,4.5,5,GGBy50KtvRk
1,This man needs a TV show,Neutral,12.97,65.75,21.29,0.08,0.4,5,GGBy50KtvRk
2,Thank you for making her feel so happy.,Positive,0.13,1.12,98.76,0.99,4.95,5,GGBy50KtvRk
3,"How are people complaining, he literally gave someone a car. Such a generous person.",Neutral,19.05,40.57,40.38,0.21,1.05,5,GGBy50KtvRk
4,Jimmy is so wholesome bless him,Positive,0.24,2.31,97.45,0.97,4.85,5,GGBy50KtvRk
5,He has proven that there is still good in this world,Positive,0.47,5.81,93.72,0.93,4.65,5,GGBy50KtvRk
6,He didn't get her anything shitty either. He got a Toyota which will likely last over a decade. What a good man.,Positive,2.45,12.52,85.03,0.83,4.1499999999999995,5,GGBy50KtvRk
7,Meanwhile twitter trying to cancel him:,Negative,54.13,43.78,2.09,-0.52,-2.6,5,GGBy50KtvRk
8,Jimmy is the reason some people are still here bless him,Positive,1.3,17.81,80.89,0.8,4.0,5,GGBy50KtvRk
9,Someone give this man the man  of the century award now,Neutral,11.08,60.82,28.1,0.17,0.8500000000000001,5,GGBy50KtvRk
10,And Twitter freaks out about yet ANOTHER good thing this man has done.,Neutral,34.78,41.42,23.8,-0.11,-0.55,5,GGBy50KtvRk
11,Mr.beast has done more for the common person than our average politician. He deserves more than he gets tbh.,Positive,9.56,36.56,53.88,0.44,2.2,5,GGBy50KtvRk
12,Wow.... how amazing. Blessing others when you have been blessed is morally fulfilling and satisfying ❤,Positive,0.18,1.23,98.59,0.98,4.9,5,GGBy50KtvRk
13,Being generous...you set a good example to her..and in the process will make her spread the love to other s when time comes that she's capable of,Positive,0.3,10.24,89.46,0.89,4.45,5,GGBy50KtvRk
14,realmente beast si es un influencer que realmente vale la pena ver y cumple bien su rol.,Neutral,6.44,83.14,10.42,0.04,0.2,5,GGBy50KtvRk
15,jimmy out here changing lives one car at a time,Neutral,7.36,80.79,11.85,0.04,0.2,5,GGBy50KtvRk
16,He blew them all away! That's for sure ❤❤❤,Positive,0.64,3.63,95.73,0.95,4.75,5,GGBy50KtvRk
17,Jimmy has the most sincere reactions to people when he gives things away.,Positive,4.04,32.01,63.94,0.6,3.0,5,GGBy50KtvRk
18,Thanks for helping her. Some people just need a break. 🙏🌹That’s the Greatest Thing to do for some one. 🙏,Positive,0.49,4.97,94.54,0.94,0.94,1,GGBy50KtvRk
19,Chillin in his crocs. What a guy,Positive,12.45,36.25,51.31,0.39,0.39,1,GGBy50KtvRk
20,What a sweet kind man he is to help so many out. Bless his heart to do good for others. 😊❤❤❤,Positive,0.18,1.3,98.52,0.98,4.9,5,GGBy50KtvRk
21,Someone give this man a man of the decade award,Neutral,11.09,55.78,33.13,0.22,1.1,5,GGBy50KtvRk
22,"Si es verdad, felicito al hombre por ser generoso",Neutral,3.06,73.03,23.91,0.21,1.05,5,GGBy50KtvRk
23,BRO NEEDS A TV SHOW NOW!!,Positive,3.96,43.31,52.73,0.49,0.49,1,GGBy50KtvRk
24,This man literally gets high off other people's happiness 😂,Negative,41.31,37.4,21.29,-0.2,-1.0,5,GGBy50KtvRk
25,You are such a good man,Positive,0.38,2.07,97.55,0.97,0.97,1,GGBy50KtvRk
26,He's is a beautiful person and has a beautiful heart ❤️❤️❤️,Positive,0.16,0.91,98.93,0.99,4.95,5,GGBy50KtvRk
27,Any act of kindness can make a profound impact on somebody else.,Positive,0.4,12.24,87.37,0.87,4.35,5,GGBy50KtvRk
28,Born generous and ready to share.,Positive,0.77,27.24,71.98,0.71,3.55,5,GGBy50KtvRk
29,A true legend 🫡,Positive,0.57,17.11,82.32,0.82,4.1,5,GGBy50KtvRk
30,The fact he gave her a Toyota says how kind he is. Cause they are reliable asf and will last forever,Positive,0.3,6.27,93.43,0.93,4.65,5,GGBy50KtvRk
31,"Carajo, este tipo es increíble, es un verdadero Salvador para las personas comunes como nosotros, que suerte de la chica, después de todo no a todos nos va bien y ver que a ella le hira mejor con nuevo auto me alegra el corazón 😊",Positive,0.78,26.58,72.63,0.72,3.5999999999999996,5,GGBy50KtvRk
32,This men is a kinda person ❤,Positive,0.47,8.44,91.09,0.91,0.91,1,GGBy50KtvRk
33,"Bro came into the resturant with crocs and tipped a car, what a chad",Negative,76.89,20.31,2.8,-0.74,-3.7,5,GGBy50KtvRk
34,Her facial expression went instantly into shock,Neutral,47.56,48.78,3.65,-0.44,-2.2,5,GGBy50KtvRk
35,Jimmy is the YouTuber with the most hugs for people he gives money to❤,Positive,0.18,3.8,96.02,0.96,0.96,1,GGBy50KtvRk
36,"Twitter is wrong, this man is the definition of a good person. Amazing to see this happening.",Positive,13.99,23.91,62.1,0.48,2.4,5,GGBy50KtvRk
37,He needs to run for president,Neutral,11.77,71.68,16.55,0.05,0.25,5,GGBy50KtvRk
38,wow! this person is amazing!!!,Positive,0.21,0.88,98.91,0.99,0.99,1,GGBy50KtvRk
39,And they still say that Jimmy's evil. My man just tipped a freaking CAR!!!,Negative,82.7,15.19,2.11,-0.81,-4.050000000000001,5,GGBy50KtvRk
40,Your such a kind person,Positive,0.74,5.3,93.96,0.93,0.93,1,GGBy50KtvRk
41,He's an angel on weekdays,Positive,0.29,7.47,92.24,0.92,4.6000000000000005,5,GGBy50KtvRk
42,Im becoming a waiter now. Imma wait for you my man Beast,Neutral,13.49,67.66,18.84,0.05,0.25,5,GGBy50KtvRk
43,"Man, that was very cool & sweet...!!!",Positive,0.14,0.79,99.08,0.99,0.99,1,GGBy50KtvRk
44,The fact that Twitter can attack you for giving away a car is absurd.,Negative,93.04,6.46,0.49,-0.93,-4.65,5,GGBy50KtvRk
45,You restore my faith in humanity ❤,Positive,0.27,5.36,94.37,0.94,4.699999999999999,5,GGBy50KtvRk
46,You're a good man,Positive,0.69,6.38,92.92,0.92,0.92,1,GGBy50KtvRk
47,He needs the Nobel Peace Prize,Neutral,25.85,57.55,16.59,-0.09,-0.44999999999999996,5,GGBy50KtvRk
48,Wasn't expecting you to cry. You literally gave her a car dude,Neutral,38.19,49.49,12.32,-0.26,-0.26,1,GGBy50KtvRk
49,you are indeed good at what you do. kudos!,Positive,0.21,1.55,98.24,0.98,4.9,5,GGBy50KtvRk
50,Jimmy literally studied how to maximize the exploitation of viewers attention and chose to do good with it. Deserves all respect,Positive,3.14,28.43,68.44,0.65,3.25,5,GGBy50KtvRk
51,If people have the means to help others then they should make others happy,Positive,0.47,13.52,86.02,0.86,0.86,1,GGBy50KtvRk
