,views,likes,comments,date,channel_id,title,description,thumbnail,channel_title,tags,genre,language,video_id,Total_Views,Sub_Count,Video_Count
0,80369458,3632784,97122,2023-06-10T16:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,"$1 vs $1,000,000,000 Yacht!","Buy Feastables anywhere to get a secret MrBeast video: https://bit.ly/_feastables


Go watch Pete Davidson's new show ""Bupkis"" now live on Peacock!""
https://youtu.be/2x6h2VJ_m-c

Check out the all new ""Icon of the Seas"" coming 2024: https://bit.ly/Icon_OfThe_Seas

Also, check out the ship Harmony of the Seas which is actually 18 floors, not 17! https://bit.ly/Harmony_OfThe_Seas

New Merch - https://shopmrbeast.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",https://i.ytimg.com/vi/48h57PspBec/maxresdefault.jpg,MrBeast,[''],Entertainment,en,48h57PspBec,27189416982,160000000,740
0,58132137,3463201,9602,2023-06-03T16:59:57Z,UCX6OQ3DkcsbYNE6H8uQQuVA,Do Pawnshops Scam You?,,https://i.ytimg.com/vi/ooAwCOP67GQ/maxresdefault.jpg,MrBeast,[''],Entertainment,en,ooAwCOP67GQ,27189416982,160000000,740
0,124923070,4463952,102095,2023-05-27T21:14:59Z,UCX6OQ3DkcsbYNE6H8uQQuVA,"Ages 1 - 100 Fight For $500,000","Claim a piece of MrBeast history — buy a prop in the Shop app for $0.01 https://go.shop.app/mrbeast


Thanks to Lickd for providing the music for this video! Discover tracks for your YouTube videos here: https://go.lickd.co/mb1
Track: Whisper by The Dear Hunter, License ID: B0yLW6gQwQ4  
https://lickd.lnk.to/EAnwiV

Also thank you Concept Pixel for the LED Wall,it looked great!
 www.conceptpixels.com

New Merch - https://shopmrbeast.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",https://i.ytimg.com/vi/FM7Z-Xq8Drc/maxresdefault.jpg,MrBeast,[''],Entertainment,en,FM7Z-Xq8Drc,27189416982,160000000,740
0,85100343,4402483,154392,2023-05-06T19:59:59Z,UCX6OQ3DkcsbYNE6H8uQQuVA,"1,000 Deaf People Hear For The First Time","Your support gives the Gift of Hearing.  Please click here!
https://hearingthecall.org/give/

SIGN LANGUAGE RESOURCES

BANGLADESH https://parakerja.co.id/home/

GUATEMALA https://www.lavosi-gua.org/

INDIA https://vaani.in/

INDONESIA https://parakerja.co.id/home/

KENYA https://www.dekkenya.org/

MEXICO https://ac.ijd.org.mx/

MEXICO https://www.eeesma.com/

UNITED STATES https://www.asd-1817.org/

UNITED STATES https://deafchildren.org/

ZAMBIA https://www.facebook.com/zambiadeafyouthwomen/

Thanks to Lickd for providing the music for this video! Discover tracks for your YouTube videos here: https://go.lickd.co/mb1

Track: Experience by Ludovico Einaudi, License ID: pbgGZ73AmAD  https://lickd.lnk.to/RFrtufyY
Track: Wang Family Portrait by Son Lux, License ID: 2zokxZGpPyn  https://lickd.lnk.to/A2glpE

New Merch - https://shopmrbeast.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",https://i.ytimg.com/vi/WTOm65IZneg/maxresdefault.jpg,MrBeast,[''],Entertainment,en,WTOm65IZneg,27189416982,160000000,740
0,169769859,9358224,28401,2023-05-01T20:00:02Z,UCX6OQ3DkcsbYNE6H8uQQuVA,Would You Pet a Cheetah in Africa?,,https://i.ytimg.com/vi/8kggT2ej-lo/maxresdefault.jpg,MrBeast,[''],Entertainment,en,8kggT2ej-lo,27189416982,160000000,740
0,131626618,8745838,24719,2023-04-22T20:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,Tipping A Waitress A Car,"New Merch - https://shopmrbeast.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",https://i.ytimg.com/vi/GGBy50KtvRk/maxresdefault.jpg,MrBeast,[''],Entertainment,en,GGBy50KtvRk,27189416982,160000000,740
0,164953691,9830744,15135,2023-04-15T20:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,Would you go on a Blind Date in Italy?,,https://i.ytimg.com/vi/Y4-gFIfGXiQ/maxresdefault.jpg,MrBeast,[''],Entertainment,en,Y4-gFIfGXiQ,27189416982,160000000,740
0,184343985,5573343,158246,2023-04-01T20:00:04Z,UCX6OQ3DkcsbYNE6H8uQQuVA,"$1 vs $500,000 Plane Ticket!","Check out ALL of MrBeast’s awesome jobs or discover a new opportunity at https://bit.ly/MrBeast_ZipRecruiter

New Merch - https://shopmrbeast.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",https://i.ytimg.com/vi/1WEAJ-DFkHE/maxresdefault.jpg,MrBeast,[''],Entertainment,en,1WEAJ-DFkHE,27189416982,160000000,740
0,198813099,12859764,37978,2023-03-30T20:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,I Sent a Subscriber to Disneyland,"New Merch - https://shopmrbeast.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",https://i.ytimg.com/vi/Y0cBiGUuB1Y/maxresdefault.jpg,MrBeast,[''],Entertainment,en,Y0cBiGUuB1Y,27189416982,160000000,740
0,149387666,4734823,111422,2023-03-18T20:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,I Paid A Real Assassin To Try To Kill Me,"File with TurboTax today to get your biggest refund possible 🤑
 http://bit.ly/MrBeastxTurboTax

New Merch - https://shopmrbeast.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",https://i.ytimg.com/vi/YLt73w6criQ/maxresdefault.jpg,MrBeast,[''],Entertainment,en,YLt73w6criQ,27189416982,160000000,740
